competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Liga Portugal ,6,07/10/02,Home,Sporting CP,Moreirense FC,3:0,LW,34',2:0,Solo run,Not Applicable,2002/03,2000s,1,31-45
Liga Portugal ,6,07/10/02,Home,Sporting CP,Moreirense FC,3:0,LW,90'+5,3:0,Header,Rui Jorge,2002/03,2000s,1,76-90
Liga Portugal ,8,26/10/02,Away,Sporting CP,Boavista FC,1:2,Not Applicable,88',1:2,Right-footed shot,Carlos Martins,2002/03,2000s,0,76-90
Taça de Portugal ,Fourth Round,24/11/02,Home,Sporting CP,CD Estarreja,4:1,LW,67',3:1,Left-footed shot,César Prates,2002/03,2000s,1,61-75
Taça de Portugal ,Fifth Round,18/12/02,Home,Sporting CP,FC Oliveira do Hospital,8:1,SS,13',3:0,Left-footed shot,Ricardo Fernandes,2002/03,2000s,1,01-15
Premier League ,11,01/11/03,Home,Manchester United,Portsmouth FC,3:0,RW,80',2:0,Direct free kick,Not Applicable,2003/04,2000s,1,76-90
FA Cup ,Fifth Round,14/02/04,Home,Manchester United,Manchester City,4:2,RW,74',3:0,Right-footed shot,Not Applicable,2003/04,2000s,1,61-75
Premier League ,29,20/03/04,Home,Manchester United,Tottenham Hotspur,3:0,RW,89',2:0,Right-footed shot,Roy Keane,2003/04,2000s,1,76-90
Premier League ,32,10/04/04,Away,Manchester United,Birmingham City,1:2,RW,60',1:1,Header,Ryan Giggs,2003/04,2000s,0,46-60
Premier League ,38,15/05/04,Away,Manchester United,Aston Villa,0:2,RW,4',0:1,Right-footed shot,Darren Fletcher,2003/04,2000s,0,01-15
FA Cup ,Final,22/05/04,Home,Manchester United,Millwall FC,3:0,RW,44',1:0,Header,Gary Neville,2003/04,2000s,1,31-45
